ARTIST,TITLE,YEAR,LINK
Boris Kustodiev,Portrait Of A Woman In Blue Portrait P Sudkovskaya,1906,https://uploads6.wikiart.org/images/boris-kustodiev/portrait-of-a-woman-in-blue-portrait-p-sudkovskaya-1906.jpg!Large.jpg
Vincent Van Gogh,The Good Samaritan After Delacroix,1890,https://uploads0.wikiart.org/images/vincent-van-gogh/the-good-samaritan-after-delacroix-1890.jpg!Large.jpg
Aleksey Savrasov,Forest,1877,https://uploads8.wikiart.org/images/aleksey-savrasov/forest-1877.jpg!Large.jpg
Boris Kustodiev,Akaky Akakiyevich Returned From The Party,1905,https://uploads6.wikiart.org/images/boris-kustodiev/akaky-akakiyevich-returned-from-the-party-1905.jpg!Large.jpg
Camille Pissarro,Bathers 3,1894,https://uploads2.wikiart.org/images/camille-pissarro/bathers-3-1894.jpg!Large.jpg
Paul Gauguin,Willow By The Aven,1888,https://uploads7.wikiart.org/images/paul-gauguin/willow-by-the-aven-1888.jpg!Large.jpg
Martiros Saryan,Costume Design Of A Clown For An Opera By A Spendiarov Almast,1939,https://uploads8.wikiart.org/images/martiros-saryan/costume-design-of-a-clown-for-an-opera-by-a-spendiarov-almast-1939.jpg!Large.jpg
Salvador Dali,Lada Atomica,1949,https://uploads2.wikiart.org/images/salvador-dali/lada-atomica-1949.jpg!Large.jpg
Pyotr Konchalovsky,Lilac,1942,https://uploads8.wikiart.org/images/pyotr-konchalovsky/lilac-1942.jpg
Rosa Bonheur,Noonday Rest,1877,https://uploads1.wikiart.org/images/rosa-bonheur/noonday-rest-1877.jpg!Large.jpg
Eyvind Earle,Ancient Tree,1992,https://uploads1.wikiart.org/images/eyvind-earle/ancient-tree-1992.jpg!Large.jpg
Paul Cezanne,Castle Of Marines,1890,https://uploads6.wikiart.org/images/paul-cezanne/castle-of-marines-1890.jpg!Large.jpg
Albrecht Durer,Rhinoceros,1515,https://uploads1.wikiart.org/images/albrecht-durer/rhinoceros-1515.jpg!Large.jpg
Odilon Redon,She Draws From Her Bosom A Sponge Perfectly Black And Covers It With Kisses Plate 8,1896,https://uploads0.wikiart.org/images/odilon-redon/she-draws-from-her-bosom-a-sponge-perfectly-black-and-covers-it-with-kisses-plate-8-1896.jpg!Large.jpg
Pyotr Konchalovsky,Cottage In Kuntsevo,1919,https://uploads4.wikiart.org/images/pyotr-konchalovsky/cottage-in-kuntsevo-1919.jpg
Vincent Van Gogh,Study Of A Fruit Tree,1890,https://uploads5.wikiart.org/images/vincent-van-gogh/study-of-a-fruit-tree-1890.jpg!Large.jpg
Paul Gauguin,She Goes Down To The Fresh Water Haere Pape,1892,https://uploads5.wikiart.org/images/paul-gauguin/she-goes-down-to-the-fresh-water-haere-pape-1892.jpg!Large.jpg
Eugene Boudin,Strand In Trouville,1868,https://uploads0.wikiart.org/images/eugene-boudin/strand-in-trouville-1868.jpg!Large.jpg
Konstantin Korovin,Roses In Blue Jugs,1917,https://uploads4.wikiart.org/images/konstantin-korovin/roses-in-blue-jugs-1917.jpg!Large.jpg
Theo Van Doesburg,Cover Of Classic Modern Baroque,1920,https://uploads7.wikiart.org/images/theo-van-doesburg/cover-of-classic-modern-baroque-1920.jpg!Large.jpg
